API Number,Operator,Month,Day,Year,Well_Name,Field_Name,County,Shale_Formation/Member,Depth,Depth_Range_(feet),Second_Depth_Interval_(feet),Third_Depth_Interval_(feet),Initial_Potential_(MCFD),Water_(BWPD),ISIP,SITP/SICP,FTP/FCP,IP OIL/COND,API gravity,GOR,Comments,Lateral Length (ft),PI Newsletter Date,Latitude,Longitude
35-063-24523,Petroquest Energy,7,14,2015,2-1H Octavia,Lamar E,Hughes,Woodford,4670,4670,,,2624,840,,,380,,,,"HORIZONTAL well; lateral 5,459-10,258 ft; gross depth range",4799,9/4/2015,35.098827,-96.098715
35-133-25175,Silver Creek Oil & Gas,7,14,2015,6-8H White House,Holdenville,Seminole,Woodford,4091,4091,,,16,1311,,,,13,39,1231,"OIL WELL; HORIZONTAL well; lateral 4,311-9,060 ft; IPG OIL 13 BPD; GOR 1,231; OIL GTY 39 API DEG",4749,9/4/2015,35.027797,-96.495204
35-051-23890,Marathon Oil,7,14,2015,1-6H Barbara Brand,Alex NW,Grady,Woodford,13986,13986,,,900,476,,,,131,,6870,"OIL WELL; HORIZONTAL well; lateral 14,342-18,852 ft; IPF OIL 131 BPD; GOR 6,870",4510,10/30/2015,34.941371,-97.773219
35-133-25178,Silver Creek Oil & Gas,7,14,2015,6-6H White House,Holdenville,Seminole,Woodford,4109,4109,,,190,2540,,,,252,41,754,"OIL WELL; HORIZONTAL well; lateral 4,229-8,746 ft; IPG OIL 252 BPD; GOR 754; OIL GTY 41 API DEG",4517,12/11/2015,35.027797,-96.499617
35-085-21244,XTO Energy,7,15,2015,1-1H6X5 Strate,Eastman NE,Love,Woodford,13803,13803,,,885,1157,,,450,517,44,1712,"OIL WELL; HORIZONTAL well; lateral 14,258-19,630 ft; IPF OIL 517 BPD; GOR 1,712; OIL GTY 44 API DEG",5372,7/24/2015; 8/7/2015,33.972175,-97.248744
35-085-21252,XTO Energy,7,15,2015,1-3H34 Tommy,Enville SW,Love,Woodford,13979,13979,,,895,1295,,,455,489,43,1830,"OIL WELL; HORIZONTAL well; lateral 14,404-19,306 ft; IPF OIL 489 BPD; GOR 1,830; OIL GTY 43 API DEG",4902,7/24/2015; 8/7/2015,33.982927,-97.192468
35-085-21242,XTO Energy,7,16,2015,1-12H1 Ed,Burneyville NE,Love,Woodford,13715,13715,,,450,1195,,,,256,42,1758,"OIL WELL; HORIZONTAL well; lateral 14,446-19,432 ft; IPF OIL 256 BPD; GOR 1,758; OIL GTY 42 API DEG",4986,11/27/2015,33.968562,-97.253097
35-119-24340,American Energy - Woodford,7,16,2015,1WH Woodrow 30-19N-1E,Prairie View E,Payne,Woodford,4959,4959,,,299,1415,,,,115,,2600,"OIL WELL; HORIZONTAL well; lateral 5,426-9,549 ft; IPP OIL 115 BPD; GOR 2,600",4123,9/25/2015,36.100404,-97.24441
35-119-24341,American Energy - Woodford,7,16,2015,2WH Woodrow 30-19N-1E,Prairie View E,Payne,Woodford,4987,4987,,,183,1630,,,,93,,1967,"OIL WELL; HORIZONTAL well; lateral 5,388-9,538 ft; IPP OIL 93 BPD; GOR 1,967",4150,9/25/2015,36.100404,-97.24441
35-051-23899,Continental Resources,7,16,2015,1-32-29XH Early,Alex NW,Grady,Woodford,13016,13016,,,3240,1369,,5100,1600,951,50,3407,"OIL WELL; HORIZONTAL well; lateral 13,484-21,155 ft; IPF COND 951 BPD; GOR 3,407; OIL GTY 50.3 API DEG",7671,11/13/2015; 11/20/2015,34.948649,-97.751148
35-087-22017,Newfield Exploration,7,17,2015,1H-21X Carole,Dibble,McClain,Woodford,10314,10314,,,829,1166,,,269,862,45,962,"OIL WELL; HORIZONTAL well; lateral 10,652-20,675 ft; IPF OIL 862 BPD; GOR 962; OIL GTY 44.8 API DEG",10023,9/18/2015,35.045067,-97.634401
35-133-25173,Silver Creek Oil & Gas,7,19,2015,31-8H Liberty,Holdenville,Seminole,Woodford,4040,4040,,,42,2002,,,,90,39,467,"OIL WELL; HORIZONTAL well; lateral 4,255-8,779 ft; IPG OIL 90 BPD; GOR 467; OIL GTY 39 API DEG",4524,10/9/2015,35.027797,-96.495204
35-051-23941,Continental Resources,7,20,2015,1-23H Tannenbaum,Knox,Grady,Springer,13398,13398,,,1297,438,,,1250,706,47,1837,"LOWER SPRINGER SHALE INTERPRETED AS GODDARD SHALE; OIL WELL; HORIZONTAL well; lateral 13,740-18,378 ft; IPF OIL 706 BPD; GOR 1,837; OIL GTY 46.8 API DEG",4638,8/14/2015,34.711394,-97.691512
35-063-24510,Silver Creek Oil & Gas,7,20,2015,22-4H Flat Iron,Holdenville,Hughes,Woodford,4440,4440,,,215,1749,,,,,,,"HORIZONTAL well; lateral 4,564-9,365 ft",4801,9/4/2015,34.986978,-96.456898
35-133-25182,Silver Creek Oil & Gas,7,21,2015,32-1H Capitol,Holdenville,Seminole,Woodford,4047,4047,,,73,1417,,,,80,38,913,"OIL WELL; HORIZONTAL well; lateral 4,363-8,782 ft; IPG OIL 80 BPD; GOR 913; OIL GTY 38 API DEG",4419,10/2/2015,35.027797,-96.495204
35-133-25187,Cobra Oil & Gas,7,21,2015,1H Palmer 11,Hazel NW,Seminole,Woodford,4367,4367,,,130,530,,,,,,,"HORIZONTAL well; lateral 4,918-6,025 ft",1107,11/4/2016,35.102164,-96.743655
35-047-25028,SK Plymouth LLC,7,23,2015,3-3WH Herbert,Enid NE,Garfield,Woodford,6243,6243,,,864,662,,,,838,,1031,"OIL WELL; HORIZONTAL well; lateral 6,450-10,902 ft; liner 6,355-11,014 ft; IPP OIL 838 BPD; GOR 1,031",4452,1/20/2017,36.49159,-97.71167
35-093-24988,Mustang Fuel Corporation,7,25,2015,1-29WH Shepherd,Ringwood,Major,Woodford,8059,8059,,,42,,,,,87,,483,"OIL WELL; HORIZONTAL well; lateral 8,486-12,670 ft; liner 7,759-12,750 ft; IPP OIL 87 BPD; GOR 483; OWWO",4184,9/18/2015,36.261509,-98.186104
35-133-25177,Silver Creek Oil & Gas,7,25,2015,6-7H White House,Holdenville,Seminole,Woodford,4185,4185,,,69,1958,,,,126,41,548,"OIL WELL; HORIZONTAL well; lateral 4,377-9,191 ft; IPG OIL 126 BPD; GOR 548; OIL GTY 41 API DEG",4814,12/11/2015,35.027797,-96.499617
