API Number,Operator,Month,Day,Year,Well_Name,Field_Name,County,Shale_Formation/Member,Depth,Depth_Range_(feet),Second_Depth_Interval_(feet),Third_Depth_Interval_(feet),Initial_Potential_(MCFD),Water_(BWPD),ISIP,SITP/SICP,FTP/FCP,IP OIL/COND,API gravity,GOR,Comments,Lateral Length (ft),PI Newsletter Date,Latitude,Longitude
35-019-24301,PSEC Inc.,2,25,1995,1-12 Pletcher,Springer,Carter,Woodford,6515,6515-6520,6535-6540,6560-6565,1215,0,,,610,,,,"Woodford 6,230-6,576 ft; liner 6,350-6,827 ft; operated by Chesapeake, as of July 2007 has produced 1.23 BCF gas and 6,000 BBLS condensate",,,34.30722,-97.155533
35-069-20073,Western Oil & Gas Development,1,1,1996,2 Chapman,Ravia W,Johnston,Sycamore; Woodford,1119,1119-1196,1386-1420,,500,,,,,,,,"Temporarily abandoned; recompleted by Chesapeake Operating on 3/2/2009 to Sycamore 1,119-1,196 ft and Woodford 1,386-1,420 ft",,3/30/2012,34.242358,-96.820603
35-137-25415,Williford Petroleum,2,10,1998,2 Quinn,Sho-Vel-Tum,Stephens,Caney,2668,2668-2670,2680-2689,,149,0,1025,,25,,,,"Caney 2,590-2,800 ft",,,34.4438,-97.69182
35-085-21005,Chaparral Energy,8,25,1999,1-25 B&W,Enville W,Love,Caney,3612,3612-3656,,,500,5,,1600,290,,,,OWWO; recompleted to Sycamore,,,34.000854,-97.044647
35-085-21015,Mack Energy,9,13,2000,1-31 Hickory Sticks,Enville W,Love,Caney; Sycamore,3490,3490-3504,3730-3772,4834-4914,296,72,260,,62,,,,"Initial Potential 24 BOPD; Caney 3,460-4,693 ft; Sycamore 4,693-5,163 ft",,,33.99546,-97.03161
35-091-21231,K.G. Landrum,11,6,2001,1 Burdine,Stidham SE,McIntosh,Caney,3122,3122-3132,3172-3182,,64,0,2600,,60,,,,"Caney 3,000-3,220 ft",,,35.35848,-95.68477
35-085-20979,Star Resources,12,6,2001,3-8 Terri Twin,Overbrook S,Love,Caney,4471,4471-4472,4476-4478,4483-4490,180,6,1800,,400,,,,"OWWO; additional perforation 4,492-4,498 ft",,,34.054726,-97.120042
35-091-21099,Dave Holke Consulting,8,7,2002,1-22 Layman,Stidham S,McIntosh,Caney,3838,3838-3846,3856-3874,3876-3884,58,0,1480,,70,,,,"OWWO; additional perforations 3,892-3,896 ft, 3,910-3,928 ft",,,35.323638,-95.714139
35-091-21331,Alda Oil & Gas Corporation,10,9,2002,1-8 Pete,Vernon NW,McIntosh,Caney,3872,3872-3880,3894-3900,3942-3958,62,1,1320,,50,,,,"Additional perforation 3,972-3,988 ft",,,35.27202,-95.95347
35-095-00915,Finley Resources,1,25,2003,1 R.D. Jones,Aylesworth,Marshall,Sycamore; Woodford,1688,1688-1760,1820-1865,,275,28,,,,4,34,68750,"OWWO; IPP OIL 4 BPD; OIL GTY 34 API; GOR 68,750; commingled",,7/13/2007,34.048133,-96.657815
35-047-24328,KR Operating Company,2,18,2003,1 League 3-1,Kremlin W,Garfield,Woodford,6230,6230-6250,,,,20,,,,2,41,,"OIL WELL; IPF OIL 2 BPD; OIL GTY 41 API DEG; noncommercial prospect recovered 1,800 bbls oil",,,36.587236,-97.827186
35-091-21311,New Dominion LLC,3,27,2003,1 Hammontree,Hanna N,McIntosh,Caney,3982,3982-3992,4028-4038,4083-4093,88,48,,,,,,,,,NRIS,35.230015,-95.879643
35-091-21334,New Dominion LLC,9,4,2003,1-24 Garrison,unnamed,McIntosh,Caney,3874,3874-3878,3896-3901,3917-3924,80,250,,,75,,,,"Additional perforation 3,936-3,946 ft",,,35.242622,-95.891824
35-091-21343,Brower Oil & Gas,12,18,2003,2-9 Jacobs,Pierce,McIntosh,Caney,2953,2953-3034,,,34,,,,360,,,,Reported as Mississippian completion; OWWO,,,35.44658,-95.724136
35-063-23501,New Dominion LLC,2,10,2004,1 Crossroads,Adams,Hughes,Caney,3740,3740-3800,3820-3900,,30,70,,,,,,,"Gross depth range; Caney Shale top at 3,700 ft; recompleted to Misener-Hunton",,9/24/2004,35.23007,-96.40032
35-091-21380,Citrus Energy,3,8,2004,1 Wild Turkey,Vernon NW,McIntosh,Caney,3802,3802-3916,,,1125,66,,1416,492,,,,Fracture stimulation,,10/8/2004,35.272615,-95.965999
35-107-23201,Southstar Oil & Gas,3,26,2004,1-20 Snell Heirs,Dustin,Okfuskee,Caney,3338,3338-3380,,,40,150,,,175,,,,Reported as Mississippian completion,,,35.33143,-96.067732
35-063-23611,EXOK,4,8,2004,1-27 Roxanna,unnamed,Hughes,Caney,4138,4138-4204,,,55,120,,,,,,,Reported as Mississippian completion,,,35.23083,-96.033367
35-091-21399,Citrus Energy,4,24,2004,2 Ethel,Raiford W,McIntosh,Caney,3978,3978-3982,4020-4030,4040-4100,45,625,1300,,250,,,,,,,35.245333,-95.878548
35-063-23598,EXOK,5,1,2004,1-28 Snell Heirs,Dustin,Hughes,Caney,4104,4104-4174,,,85,62,,,120,,,,Reported as Mississippian completion,,,35.218266,-96.040018
35-091-21387,New Dominion LLC,5,17,2004,1 Beebe,Raiford SE,McIntosh,Caney,3986,3986-4000,4012-4022,4026-4042,30,120,,,,,,,"Additional perforation 4,046-4,076 ft",,NRIS,35.301456,-95.701797
35-091-21400,Centrex Operating,5,20,2004,1-10 Shoffner,Hoffman,McIntosh,Caney,2445,2445-2452,,,57,10,,,45,,,,Reported as Mississippian completion,,,35.52987,-95.816796
35-063-23610,EXOK,7,1,2004,1-22 Robert,unnamed,Hughes,Caney,3954,3954-4028,,,15,45,,,,,,,Reported as Mississippian completion,,,35.232745,-96.026763
35-101-22809,Tack Operating,7,30,2004,1-12 Jones,Keefeton,Muskogee,Caney,2250,2250-2288,,,50,75,,,,,,,Discovery-extension,,12/1/2006,35.613391,-95.35358
35-091-21401,D & J Oil Company,8,4,2004,1-5 Willard,Checotah NW,McIntosh,Caney,2576,2576-2623,,,240,200,,,600,,,,,,12/10/2004,35.537475,-95.529855
35-107-23199,Southstar Oil & Gas,8,9,2004,4-13 Snell Heirs,Lyons-Quinn,Okfuskee,Caney,3520,3520-3554,,,120,150,,,,,,,Reported as Mississippian completion,,,35.341541,-96.093095
35-111-27074,Brower Oil & Gas,8,10,2004,1-16 Pinkston,Hoffman,Okmulgee,Caney; Mayes,2532,2532-2710,,,15,40,,,,,,,,,,35.520703,-95.824645
35-091-21422,Porter Oil & Gas,8,11,2004,1-21 Mary Lee Rowe,unnamed,McIntosh,Caney,3865,3865,,,,,,,,,,,,,,35.323344,-95.943968
35-091-21083,Citrus Energy,8,14,2004,1-8R Harmon,Vernon NW,McIntosh,Caney,3822,3822-3943,,,173,130,,,50,,,,Reported as Mississippian completion; OWWO,,,35.262714,-95.951399
35-121-23222,Newfield Exploration,8,15,2004,2-10 Lambert,Pine Hollow S,Pittsburg,Woodford,,,,,539,,,,,,,,,,2/18/2005,34.924466,-96.032768
35-131-24833,Endeavor Energy Resources,8,26,2004,7-4 Todd Ranch,Talala,Rogers,Woodford,1330,1330-1368,,,,150,,,,,,,,,7/13/2007,36.589234,-95.603884
35-107-21211,Metro Energy Group,8,28,2004,1-19 Holt,Gregory,Okfuskee,Woodford,3700,3700-3730,,,69,,,,,,,,OWWO,,4/24/2009,35.331433,-96.085352
35-091-21417,Citrus Energy,9,1,2004,1-7 Campbell,Vernon NW,McIntosh,Caney,,,,,,,,,,,,,,,,35.264483,-95.968212
35-101-22828,D & J Oil Company,9,3,2004,1-1 Blue Light,Keefeton,Muskogee,Caney,1800,1800-1824,,,30,35,,,,,,,,,,35.634256,-95.354694
35-107-23220,Metro Energy Group,9,4,2004,6-13 Snell-Heirs,Lyons-Quinn,Okfuskee,Caney,3492,3492-3590,,,120,200,,,,,,,Reported as Mississippian completion,,,35.345155,-96.089773
35-121-23243,Newfield Exploration,10,14,2004,2-4 Stark,Pine Hollow S,Pittsburg,Woodford,8748,8748-8753,8799-8804,8843-8848,562,5,,,646,,,,Gross depth range,,12/3/2004; 6/15/2006,34.931183,-95.935824
35-121-23223,Newfield Exploration,10,14,2004,1-19 Andrew,Pine Hollow S,Pittsburg,Woodford,9983,9983-9987,10013-10080,,1001,8,,,683,,,,Gross depth range; recompletion to Viola; OWWO,,12/10/2004,34.88763,-95.867618
35-063-23685,Newfield Exploration,10,14,2004,1-29 Poe,unnamed,Hughes,Woodford,7760,7760-7878,,,376,30,,,87,,,,Discovery-new field,,5/6/2005,34.783552,-96.172162
35-107-23226,Enterprise Energy Exploration,10,18,2004,1-22 Barnes,Weleetka,Okfuskee,Caney,3237,3237-3333,,,50,200,,,100,,,,,,10/29/2004,35.325226,-96.126335
35-091-21433,Citrus Energy,10,29,2004,1-26H Shuey,Raiford SE,McIntosh,Caney,3965,3965,,,200,240,,,100,,,,"Reported as Mississippian completion; HORIZONTAL well; lateral 6,325-6,373 ft",,,35.308728,-95.692906
35-107-23221,Metro Energy Group,11,8,2004,7-13 Snell-Heirs,Lyons-Quinn,Okfuskee,Caney,3410,3410-3520,,,140,200,,,,,,,Reported as Mississippian completion,,,35.336119,-96.095311
35-121-23226,Newfield Exploration,11,17,2004,1-6 Loftis,Pine Hollow S,Pittsburg,Woodford,8460,8460-8463,8507-8593,,292,4,,,169,,,,Gross depth range,,12/17/2004,34.851012,-96.079387
35-121-23284,Newfield Exploration,11,23,2004,3-22 Sherman Ellis,Pine Hollow S,Pittsburg,Woodford,8036,8036-8041,8079-8084,8148-8153,168,20,,,59,,,,Gross depth range,,12/10/2004,34.894771,-96.022934
35-121-23052,Newfield Exploration,12,8,2004,1-7 Van Pelt,Asher N,Pittsburg,Caney; Woodford,6144,6144-6480,6610-6712,,34,2,,,108,,,,"Gross depth range; Caney perforations 6,144-6,174, 6,330-6,360, 6,400-6,430,6,450-6,480 ft; Woodford perforations 6,610-6,640, 6,682-6,712 ft",,9/24/2004; 1/21/2005,35.006347,-95.971262
35-063-23621,R K R Exploration,12,10,2004,1 Tommy Joe East,Carson,Hughes,Caney; Woodford,3902,3902-3912,3943-3968,4234-4268,165,22,,,60,,,,Dual Producer; gross depth range Caney; IPF 110 MCFD WTR 15 BBL Caney; IPF 55 MCFD WTR 7 BBL Woodford,,1/14/2005,35.180491,-96.070141
35-107-23223,Metro Energy Group,12,13,2004,2-19 Snell-Heirs,Gregory,Okfuskee,Woodford,3664,3664-3684,,,600,10,,,800,,,,,,3/11/2005,35.327819,-96.080922
35-091-21426,Landmark Energy,12,18,2004,2-25 Crabtree,Raiford SE,McIntosh,Caney,3979,3979-4070,,,100,100,,,,,,,Reported as Mississippian completion,,,35.310537,-95.676262
35-107-23224,Metro Energy Group,12,22,2004,3-19 Snell-Heirs,Lyons-Quinn,Okfuskee,Caney,3340,3340-3462,,,160,90,,,250,,,,Reported as Mississippian completion,,,35.328722,-96.072062
35-063-23648,Cola Resources,12,28,2004,2-32 Freeport,unnamed,Hughes,Woodford,7822,7822-7910,,,721,48,,,300,,,,Discovery confirmed-new field,,3/11/2005,34.778026,-96.166594
35-091-21434,Landmark Energy,12,29,2004,2 Lane,Raiford SE,McIntosh,Caney,4004,4004-4011,4022-4032,4043-4050,50,,,,,,,,"Gross depth range; additional perforations 4,052-4,070, 4,233-4,239, 4,261-4,266 ft",,2/10/2006; 2/24/2006,35.301544,-95.675273
35-107-23222,Metro Energy Group,12,30,2004,8-13 Snell-Heirs,Lyons-Quinn,Okfuskee,Caney,3568,3568-3702,,,140,200,,,1805,,,,Reported as Mississippian completion,,,35.334312,-96.098634
35-111-27089,Brower Oil & Gas,1,14,2005,1-22 Thomas,Salem N,Okmulgee,Caney,3192,3192-3298,,,10,60,,,,,,,Reported as Mississippian completion,,,35.408527,-95.923031
35-049-36561,Gruy Petroleum Management,1,21,2005,1 Mays,Eola-Robberson,Garvin,Woodford,6645,6645-6700,6770-6790,6894-6924,325,18,,,,70,33,4642,"OWWO; IPP OIL 70 BPD, GTY 33 API DEG; GOR 4,642; gross depth range",,2/18/2005,34.569451,-97.439195
35-029-20695,Newfield Exploration,1,21,2005,1D-26 Mayer,unnamed,Coal,Woodford,8680,8680-8783,,,149,0,,,136,,,,Discovery-new field,,5/13/2005,34.618199,-96.227456
35-121-23245,Newfield Exploration,1,26,2005,1-34 G. Robbie,Pine Hollow S,Pittsburg,Woodford,8447,8447-8561,,,115,,,,122,,,,,,3/11/2005,34.861051,-96.030466
35-091-21352,Enterprise Energy Exploration,2,1,2005,1-19 Paris South,Checotah NW,McIntosh,Caney,2905,2905-2955,,,140,40,,,,,,,Reported as Mississippian completion,,,35.505561,-95.545561
35-091-21444,Citrus Energy,2,6,2005,1-13 Martin,Raiford W,McIntosh,Caney,3925,,,,2,550,,,,,,,"Reported as Mississippian completion; HORIZONTAL well; perforations 4,020-4,022, 4,248-4,250, 4,459-4,461, 4,684-4,686, and 4,913-4,916 ft",896,6/30/2006,35.247191,-95.876336
35-091-21451,Citrus Energy,2,8,2005,1-11H Campbell,unnamed,McIntosh,Caney,,,,,235,600,,,120,,,,"HORIZONTAL well; lateral perforations 4,124-4,780, 4,969-5,622, 5,774-6,440 ft",2316,,35.268948,-95.908528
35-121-23324,Chesapeake Operating,2,12,2005,1-31 London,Reams NW,Pittsburg,Woodford,6520,6520-6530,,,15,46,,,,,,,,,4/1/2005,35.032665,-95.874339
35-091-21448,Citrus Energy,2,12,2005,1-5H Campbell,Vernon NW,McIntosh,Caney,,,,,325,500,,,100,,,,"HORIZONTAL well; lateral perforations 4,405-5,110, 5,345-6,168 ft",1763,,35.279003,-95.958041
35-063-23656,Chesapeake Operating,2,14,2005,3-35 Sellers,Ashland N,Hughes,Woodford,8520,8520-8524,8598-8602,8650-8654,540,7,,,66,,,,"Gross depth range; additional perforation 8,674-8,678 ft",,5/13/2005,34.770785,-96.119519
35-133-24498,Larron Energy Corporation,2,15,2005,15 Lima,Wewoka,Seminole,Woodford,4080,4080-4150,,,30,40,,,,,,,,,2/16/2007,35.185595,-96.589609
35-121-23349,Chesapeake Operating,2,25,2005,1-1 Burleson,Pine Hollow S,Pittsburg,Woodford,7624,7624-7626,7662-7666,7706-7710,132,0,,,48,,,,Gross depth range,,5/13/2005,34.937284,-95.995455
35-091-21437,Chesapeake Operating,3,1,2005,3-21 Wildlife,Stidham,McIntosh,Caney,2823,2823-2835,2900-2920,,47,6,,,27,,,,Gross depth range,,11/4/2005,35.415748,-95.727465
35-133-24497,Larron Energy Corporation,3,1,2005,14 Lima,Wewoka,Seminole,Caney,,,,,,,,,,,,,Undisclosed gas; production reported from Hunton,,,35.182885,-96.589609
35-091-21459,Citrus Energy,3,4,2005,1-14H Campbell,Hanna NW,McIntosh,Caney,,,,,86,90,,,50,,,,"HORIZONTAL well; lateral perforations 4,235-5,907, 6,065-6,725 ft",2490,,35.258953,-95.896246
35-005-20042,Devon Energy,3,4,2005,1-32 A. Mullen,unnamed,Atoka,Woodford,8040,8040-8300,,,,33,,,5,,,,OWWO; discovery-new field,,3/2/2007,34.252295,-96.174014
35-091-21395,Chesapeake Operating,3,7,2005,2-20 Ranch,Pierce SW,McIntosh,Woodford,2988,2988-2992,3008-3012,3028-3032,8,6,,,,,,,"Gross depth range; additional perforations at 3,046-3,048 ft, 3,052-3,054 ft, 3,290-3,310 ft",,6/10/2005,35.407612,-95.74513
35-029-20686,Devon Energy,3,20,2005,1-18 Double 5 Ranch,unnamed,Coal,Woodford,7510,7510-7520,7550-7600,,352,31,,,100,,,,Gross depth range; discovery-new field,,4/1/2005,34.731584,-96.189837
35-091-21453,Williams Production,3,25,2005,1-33H Fisher,Raiford N,McIntosh,Caney,4200,4200,,,349,120,,,,,,,"HORIZONTAL well; openhole; lateral 4,463-6,885 ft; liner",2422,10/29/2007,35.290592,-95.723937
35-121-23311,Newfield Exploration,4,6,2005,3H-9 Blevins,Pine Hollow S,Pittsburg,Woodford,7264,7264,,,462,56,,,82,,,,"HORIZONTAL well; lateral 7,924-8,758 ft",834,7/29/2005,34.924452,-96.048365
35-049-30163,Gruy Petroleum Management,4,13,2005,4 Henthorne (ENFBU 11-4),Eola-Robberson,Garvin,Woodford,6750,6750-6791,6810-6836,6866-6908,208,27,,,,5,37,,"OWWO; IPP OIL 5 BPD, OIL GTY 36.8 API DEG; gross depth range",,5/6/2005,34.571261,-97.447976
35-029-20698,Devon Energy,4,17,2005,1-24 Rogers Trust,unnamed,Coal,Woodford,7120,7120-7292,,,216,7,,,80,,,,Sidewall shot; discovery-new field,,5/6/2005; 4/14/2006,34.713402,-96.208881
35-063-23683,Shallow Energy,4,27,2005,1 Sheman,Holdenville,Hughes,Woodford,4104,4104-4116,4146-4152,4155-4158,16,2,,,,,,,"Additional perforation 4,162-4,166 ft; gross depth range",,5/25/2007,35.093091,-96.473412
35-121-23365,Chesapeake Operating,4,29,2005,2-6 Uselton,Reams NW,Pittsburg,Caney; Woodford,6453,6453-6570,6838-6858,,97,1,,,310,,,,Reported as Mississippian and Woodford completion,,,35.019056,-95.874362
35-107-23239,Metro Energy Group,5,3,2005,4-18 Snell Heirs,Weleetka E,Okfuskee,Woodford,3706,3706-3736,,,180,,,,,,,,,,4/27/2007,35.343263,-96.077655
35-091-21458,Williams Production,5,12,2005,1-27 Layman,Stidham S,McIntosh,Caney,3905,3905,,,450,192,,,10,,,,"HORIZONTAL well; lateral 4,232-6,283 ft",2051,10/14/2005,35.312274,-95.715094
35-063-23660,Panther Energy,5,14,2005,2-28 Harriet,Lamar E,Hughes,Woodford,4832,4832-4892,,,144,15,,,100,,,,,,11/11/2005,35.133278,-96.039383
35-095-20465,Chesapeake Operating,5,19,2005,1-23 Watkins Trust,Madill,Marshall,Woodford,4674,4674-4882,,,698,11,,,600,,,,"Perforations 4,674-4,684, 4,704-4,718, 4,730-4,770, 4,810-4,820, 4,850-4,860, and 4,866-4,882 ft",,10/14/2005,34.105443,-96.742233
35-107-23240,Metro Energy Group,5,20,2005,1-17 Longview,Weleetka E,Okfuskee,Woodford,3710,3710-3740,,,150,20,,1230,,,,,,,6/8/2007,35.335131,-96.064415
35-063-23677,Hunton Oil & Gas,5,25,2005,1 Kobe,Carson,Hughes,Woodford,4180,4180-4210,,,115,4,,,60,,,,,,11/23/2005,35.194975,-96.065856
35-063-23678,Cannon Energy,5,30,2005,1-28 Harriet,Lamar E,Hughes,Woodford,4816,4816-4878,,,,150,,,,,,,,,6/10/2005,35.142313,-96.039384
35-063-23697,Yale Oil Association Inc.,6,3,2005,1-22 Luna,Lamar S,Hughes,Woodford,5110,5110-5117,5127-5135,5168-5176,265,326,,,500,,,,"Gross depth range; additional perforation at 5,184-5,192 ft; produced water is load water",,7/29/2005,35.068733,-96.137282
35-063-23528,Yale Oil Association Inc.,6,10,2005,40R Marbet,Carson E,Hughes,Woodford,4774,4774-4780,4790-4796,4822-4828,81,238,,,,,,,Gross depth range; OWWO; load water,,11/11/2005,35.169524,-96.030665
35-107-23244,Metro Energy Group,6,10,2005,2-17 Longview,Weleetka E,Okfuskee,Woodford,3850,3850-3880,,,240,20,,,,,,,,,4/27/2007,35.344166,-96.067738
35-063-30265,Cuesta Petroleum,7,1,2005,1 Lucas,Carson,Hughes,Woodford,4614,4614-4624,4630-4636,4642-4646,150,7,,,120,,,,OWWO,,5/19/2006,35.189508,-96.028389
35-137-26133,"Thompson, Joe L.",7,6,2005,1 Sudberry,Sho-Vel-Tum,Stephens,Caney,2901,2901-3001,,,10,,,,,,,,,,10/28/2005,34.393519,-97.644574
35-095-20461,Finley Resources,7,19,2005,1 Ross Ridge,Aylesworth,Marshall,Woodford,1919,1919,,,22,38,,,,,,,"DIRECTIONAL well; 1,922-2,242 ft; gross depth range",,12/15/2006,34.035499,-96.642572
35-091-21470,Williams Production,7,22,2005,4-6 Scout,unnamed,McIntosh,Caney,4294,4294,,,500,720,,,50,,,,"HORIZONTAL well; openhole; lateral 4,510-5,715 ft; liner 5,218-5,715 ft",1205,,35.286932,-95.662088
35-133-24500,Larron Energy Corporation,7,22,2005,19 Lima,Wewoka District,Seminole,Woodford,3990,3990-4020,,,86,115,,,,5,38,17200,"IPP OIL 5 BPD; GOR 17,200; OIL GTY 38 API DEG",,,35.174753,-96.594031
35-029-20718,St. Mary Land & Exploration,8,12,2005,2-7 Ann Bey,Centrahoma,Coal,Woodford,,,,,1349,,,,425,,,,"HORIZONTAL well; lateral 6,650-8,649 ft",1999,10/7/2005,34.577286,-96.285516
35-029-20712,Devon Energy,8,27,2005,1-12H Double 5 Ranch,wildcat,Coal,Woodford,7340,7340,,,1795,103,,,670,,,,"HORIZONTAL well; lateral 7,865-10,902 ft",3037,9/21/2005; 10/14/2005,34.7388,-96.199861
35-091-21482,Williams Production,8,30,2005,1-24 Harvey,unnamed,McIntosh,Caney,3992,3992,,,450,50,,,10,,,,"HORIZONTAL well; openhole; lateral 4,265-6,271 ft; liner",2006,,35.319631,-95.677372
35-107-23234,Enterprise Energy Exploration,8,31,2005,1-27 Austex,Weleetka SE,Okfuskee,Woodford,3620,3620-3646,,,30,200,,,,,,,,,11/4/2005,35.317938,-96.129703
35-085-21011,Mack Energy,8,31,2005,1 Antlers,Marietta N,Love,Caney,4772,4772-4794,4804-5144,5174-5510,162,142,,,,20,37,8100,"Gross depth range; OWWO; IPP OIL 20 BOPD, GTY 37 API DEG, GOR 8,100",,11/17/2005,34.00991,-97.059903
35-107-23245,Metro Energy Group,9,1,2005,1-16 Hudson,Bryant S,Okfuskee,Woodford,,,,,,,,,,,,,,,,35.335168,-96.036669
35-063-23709,Glenn Supply Company,9,8,2005,1-9 Walter,Shady Grove SW,Hughes,Woodford,5790,5790-5794,5834-5838,5882-5890,472,500,,,250,,,,Gross depth range,,10/21/2005,35.003137,-96.152731
35-091-21480,Centrex Operating,9,9,2005,1-10 Owen,Hoffman,McIntosh,Caney,2500,2500-2550,,,79,60,,,175,,,,Reported as Mississippian completion,,,35.52716,-95.816796
35-029-20714,Devon Energy,9,19,2005,1-20H Billie Jean,unnamed,Coal,Woodford,8072,8072,,,2266,229,,,260,,,,"HORIZONTAL well; discovery-new field; lateral perforations 8,602-8,607, 8,872-8,878, 9,141-9,147, 9,410-9,417, 9,679-9,686, 9,949-9,957, 10,206-10,215 ft; gross depth range",1613,10/21/2005,34.72248,-96.176717
35-137-22583,Newfield Exploration,9,22,2005,4D F.M. Wood,Sho-Vel-Tum,Stephens,Caney,2766,2766-2830,,,743,,,,258,,,,"Gross depth range; perforated intervals 2,766-2,791 ft, 2,808-2,830 ft; OWWO",,6/23/2006,34.447743,-97.697043
35-051-23028,Chesapeake Operating,9,23,2005,1-21 Pugh,Chitwood,Grady,Woodford,15310,15310-15550,15362-15404,15430-15450,234,23,,,2100,7,42,33429,"IPF OIL 7 BPD; OIL GTY 42 API DEG; GOR 33,429; OWWO; directional well; gross depth range; additional perforations 15,495-15,505, 15,540-15,550 ft",,11/4/2005,34.888683,-97.831332
35-133-24536,Oak Hills Drilling & Operating,9,24,2005,7 Brady,Holdenville,Seminole,Woodford,3925,3925-4058,,,,45,,,,40,34,,OIL WELL; IPP OIL 40 BPD; OIL GTY 34 API DEG,,10/19/2006,35.005082,-96.510718
35-091-21465,Patina O&G Corporation,10,1,2005,10 Blackbird,Coalton,McIntosh,Woodford,3315,3315,,,,,,,,,,,,,,35.429072,-95.837965
35-049-23703,Chesapeake Operating,10,14,2005,1-26 Floyd,Sho-Vel-Tum,Garvin,Sycamore; Woodford,6120,6120-6350,6384-6598,,267,,,,75,2,,,Commingled; OWWO; IPF OIL 2 BPD,,5/19/2006,34.522377,-97.491902
35-063-23650,Southern Resources,10,21,2005,2-33 Richardson,Hill Top N,Hughes,Woodford,6244,6244-6370,,,16,,,,25,,,,,,12/9/2005,34.950677,-96.153815
35-019-24899,Chesapeake Operating,10,24,2005,1-13 Sapon,Springer,Carter,Woodford,6924,6924-6934,7004-7008,7014-7018,783,18,,,90,19,,41210,"Gross depth range; additional perforations 7,114-7,120, 7,138-7,146, 7,150-7,158, 7,168-7,174, 7,245 ft; IPF OIL 19 BOPD; GOR 41,210; recompleted to Sycamore 6,619-6,779 and Woodford on 10/23/2007; OWWO",,12/27/2005; 2/8/2008,34.291871,-97.146221
35-063-23705,Devon Energy,10,29,2005,1-26 Edwards,unnamed,Hughes,Woodford,7442,7442,,,1062,127,,,1050,,,,"HORIZONTAL well; gross depth range; perforations 7,812-7,817, 8,113-8,119, 8,410-8,416, 8,710-8,717, 9,014-9,017, 9,313-9,317, 9,826-9,831 ft; liner 7,767-9,932 ft",2019,12/9/2005,34.795126,-96.22399
35-049-36582,Gruy Petroleum Management,10,31,2005,2-7 Harrell 'C',Eola-Robberson,Garvin,Woodford,6737,6737-6920,,,205,5,,,60,10,35,20500,"OWWO; IPF OIL 10 BPD, OIL GTY 34.7 API DEG; GOR 20,500",,1/20/2006,34.573972,-97.456755
35-091-21485,Williams Production,11,8,2005,1-23 Missy,Stidham S,McIntosh,Caney,3970,3970,,,427,38,,,12,,,,"HORIZONTAL well; openhole; lateral 4,255-5,683 ft; liner",1428,,35.321421,-95.695124
35-029-20723,Newfield Exploration,11,15,2005,1-17 Ennis,unnamed,Coal,Woodford,11778,11778-11958,,,1125,30,,,130,,,,"Recompleted to Atoka 7,303-7,328 ft on 10/12/2006; D&A on 7/28/2010",,3/24/2006; 9/21/2007; 9/10/2010,34.661189,-96.101986
35-035-21485,NEOK Production,11,30,2005,1-35 H & H Land,unnamed,Craig,Woodford,985,0985-0995,,,,,,,,,,,,,2/17/2006,36.687312,-95.347285
35-035-21486,NEOK Production,11,30,2005,1-9 Ratcliff,unnamed,Craig,Woodford,860,0860-0870,,,,,,,,,,,,,2/6/2009,36.755814,-95.280276
35-063-23712,Continental Resources,12,16,2005,22-7-10 A Price,Citra,Hughes,Woodford,5931,5931-6009,,,53,115,,,,,,,Discovery-extension,,12/1/2006,34.803263,-96.344537
35-091-21495,Williams Production,12,17,2005,3-3 C. Skip,Raiford SE,McIntosh,Caney,4356,4356,,,200,53,,,62,,,,"HORIZONTAL well; perforated intervals 4,800-4,802 ft, 4,900-4,902 ft, 5,000-5,002 ft, 5,100-5,102 ft, 5,200-5,202 ft, 5,300-5,302 ft",,4/25/2006,35.277901,-95.715079
35-029-20727,Newfield Exploration,12,18,2005,1-9 Smith,unnamed,Coal,Woodford,11212,11212-11390,,,881,134,,,55,,,,Discovery-new field,,4/25/2006,34.660989,-96.150291
35-005-20295,Newfield Exploration,1,22,2006,1-6 Harris,Ashland S,Atoka,Woodford,11640,11640-11835,,,1200,243,,,50,,,,"Discovery-deeper pool; OWWO; recompleted to Atoka 7,157-7,176 ft on 10/12/2006",,4/7/2006; 9/21/2007,34.676672,-96.079056
35-063-23750,Pontotoc Production,1,27,2006,5 Parks,Shady Grove W,Hughes,Woodford,5190,5190-5198,5224-5236,5286-5293,211,,,,,,,,,,4/28/2006,35.016966,-96.208947
35-107-23262,Devon Energy,2,1,2006,1-5 Adkins,Lyons-Quinn,Okfuskee,Caney,3422,3422-3498,,,,,,,,,,,,,,35.372399,-96.172677
35-063-23700,Deka Exploration,2,3,2006,A 23-12 O.L. Hill,TA,Hughes,Woodford,5778,5778-5886,,,,,,,,,,,TA,,1/30/2009,34.800416,-96.333379
35-063-23725,Devon Energy,2,8,2006,1-18 Williams,unnamed,Hughes,Woodford,7790,7790,,,1389,2050,,,2050,,,,"HORIZONTAL well; lateral 8,182-10,378 ft; gross depth range; discovery-new field",2196,5/4/2007,34.822422,-96.194228
35-063-23720,Continental Resources,2,22,2006,A 21-10 Huffstutlar,unnamed,Hughes,Woodford,5635,5635,,,164,11,,,,,,,"HORIZONTAL well; lateral 5,233-7,674 ft; discovery-new field",2441,3/16/2007,34.801577,-96.361063
